,SS-15-5737 (14-5753),SB-17-1212,SB-17-4207,SB-18-831,SB-18-702,SB-18-1188,S17-64584-1B,SB-19-2801,SS-18-7192 (S8-1249)
MT-CO1,3.350296573638916,3.149293355941772,3.2221990776062013,3.724579095840454,3.090214624404907,3.326586790084839,3.330396757125855,3.5833258914947512,3.613518123626709
MT-ND4,3.3375432968139647,3.136890563964844,3.180670909881592,3.446081962585449,3.0032145977020264,3.295695343017578,3.3975868225097656,3.5672902202606203,3.6028004264831544
ACTB,3.187385606765747,2.9859484100341795,3.078017692565917,3.1120078754425053,3.030482368469238,3.212068271636963,3.191192626953125,3.236221485137939,3.2795986270904542
MT-RNR2,3.121080369949341,2.981048460006714,3.037417907714844,3.336063289642334,2.9242038249969484,3.025849151611328,3.1582103443145755,3.2328011798858647,3.418447046279907
EEF1A1,2.749610157012939,2.97245153427124,3.0232917404174806,2.7240680789947507,3.059260368347168,2.8807732582092287,2.731454267501831,2.891616344451904,2.778496141433716
FTL,2.7641165924072264,2.9159059333801274,2.9194879055023195,2.527057275772095,2.862767496109009,2.8490725231170653,2.7200288200378417,2.6732643413543697,2.8251025962829592
MT-CO3,3.038017511367798,2.835471858978272,2.866441974639893,3.0757262516021724,2.7599902057647703,3.086668710708618,3.056917428970337,3.151856508255005,3.1423610496520995
ACTG1,2.77990571975708,2.885879497528076,2.859716634750366,2.7100435924530037,2.9309397602081297,2.8736965370178225,2.854115037918091,2.8573529624938963,2.927348279953003
IGHG1,1.3434553706645964,2.436497325897217,1.9747343826293944,0.691051854789257,1.679163422584534,1.4823851990699768,1.0843758916854858,1.0460942912101747,1.7453859901428224
MT-CO2,3.0157199573516844,2.775861225128174,2.799072141647339,3.19501012802124,2.691305456161499,2.9485788059234617,3.0857278060913087,3.131266565322876,3.1179424381256107
GAPDH,2.715892391204834,2.8407521343231203,2.7742521953582764,2.7175239372253417,2.9344301509857176,2.6993578815460206,2.94260986328125,2.7261078929901124,2.7770098590850827
B2M,2.17490345954895,2.420647010803223,2.480809803009033,2.120901789665222,2.368136396408081,2.5072453880310057,2.16968514919281,2.1917207098007205,2.208441143035889
MT-CYB,2.8335837841033937,2.6092062854766844,2.6818386936187744,2.9818139266967774,2.4806810283660887,2.845329074859619,2.8449463558197023,3.015227718353272,2.996408081054688
TPT1,2.54287880897522,2.5758152103424075,2.5329920482635497,2.258051161766052,2.473581199645996,2.585521545410156,2.266311473846435,2.4989983749389646,2.2882631111145018
MT-ND2,2.909965925216675,2.6288177490234377,2.654749155044556,2.993679790496826,2.4511804866790774,2.81359769821167,2.90163161277771,2.9961358833312994,3.0195427894592286
CD74,2.187219934463501,2.28790075302124,2.558920316696167,2.5009294414520262,2.27219479560852,2.646316289901734,2.1623627758026123,2.3434833908081054,2.4065486955642696
IGKC,1.1435465860366822,2.1725691080093386,1.7180777072906497,0.5285701942443848,1.481082615852356,1.32943585395813,0.792984145283699,0.8204576003551484,1.4011128568649291
COL1A1,2.3681038570404054,2.507641582489014,2.5970300006866456,2.289830045700073,2.4652858448028567,2.702117748260497,2.560459909439087,2.911886024475097,2.6395034313201906
MT-ATP6,2.7281504249572754,2.5382035160064698,2.5795257186889646,2.867451658248901,2.4574602317810057,2.75952730178833,2.7838268947601312,2.9542563724517823,2.919157075881958
ENO1,2.725988597869873,2.683295602798462,2.724086475372314,2.8223290824890137,2.726200256347656,2.6396881580352787,2.801285276412964,2.765422000885009,2.9240216922760007
FN1,2.2009560680389404,2.3801308441162106,2.4743885517120363,2.2279030132293705,2.3486293125152597,2.51077419757843,2.319673810005188,2.567345085144043,2.4575312900543214
EEF2,2.42068998336792,2.5992102813720708,2.5988774394989016,2.48852635383606,2.581081342697144,2.550426788330078,2.4799704742431645,2.5611277961730954,2.632942914962769
MT-ND1,2.738414783477784,2.533383817672729,2.606491928100586,3.0233239364624023,2.3821846389770505,2.691505584716797,2.717629232406616,2.931443519592285,2.982202281951904
PSAP,2.1864591407775884,2.4275052261352537,2.4313531875610352,2.248776969909668,2.437823390960693,2.337372570037842,2.240412759780884,2.233266897201538,2.333175468444824
HLA-B,2.324422302246094,2.1899762201309203,2.4113711261749264,2.210109009742737,2.34445140838623,2.556999950408936,2.242530708312988,2.3127197551727297,2.257788324356079
RPL3,2.4545485210418705,2.48724591255188,2.4553415870666506,2.2227247524261475,2.4995609188079837,2.4182948589324957,2.3260195732116697,2.4090967178344727,2.363751621246338
COL3A1,1.913174114227295,2.388111505508423,2.307727241516113,1.6343308138847352,2.206160583496094,2.314096269607544,2.1302204418182376,2.386687345504761,2.149413313865661
